titles  ,  years  ,  certifcation  ,  votes  ,  dataValues ,  IMDBRatings  ,  metaScores  ,  All0to17  ,  All18to29  ,  All30to44  ,  All45to  ,  MaleAll  ,  Male0to17  ,  Male18to29  ,  Male30to44  ,  Male45to  ,  FemaleAll  ,  Female0to17  ,  Female18to29  ,  Female30to44  ,  Female45to , DomesticOpening  ,  Budget  ,  Domestic  ,  International  ,  Worldwide,  genres1  ,genres2,genres3
The Croods: A New Age  ,2020,  PG  ,24254,  /title/tt2850386/ ,7,56,7,7,7,6.9,6.9,7.2,6.9,6.9,6.8,7.4,6.8,7.4,7.3,7.4,9724200,  None  ,57818310,109174000,166992310,  Animation, Adventure, Comedy  
6 Underground  ,2019,  R  ,145151,  /title/tt8106534/ ,6.1,41,5.7,6.1,6,6.1,6,5.5,6.1,6,6.1,6.3,5.6,6.3,6.2,6.6, None  ,  None  ,  None  ,  None  ,  None,  Action, Thriller  ,
Pokï¿½mon Detective Pikachu  ,2019,  PG  ,142717,  /title/tt5884052/ ,6.6,53,6.7,6.7,6.5,6.2,6.5,6.5,6.6,6.4,6.1,6.9,7.1,7,6.8,6.6,54365242,150000000,144105346,288900000,433005346,  Action, Adventure, Comedy  
Deadpool 2  ,2018,  R  ,495531,  /title/tt5463162/ ,7.7,66,7.9,7.8,7.6,7.6,7.7,7.7,7.7,7.6,7.5,7.8,8.2,7.8,7.7,7.7,125507153,110000000,324591735,461878749,786470484,  Action, Adventure, Comedy  
The Hitman's Bodyguard  ,2017,  R  ,192379,  /title/tt1959563/ ,6.9,47,7.1,7,6.8,6.9,6.8,7.1,7,6.8,6.8,7.1,7,7.2,7,7.2,21384504,30000000,75468583,101131624,176600207,  Action, Comedy, Crime  
Life  ,  I 2017  ,  R  ,210796,  /title/tt5442430/ ,6.6,54,6.9,6.7,6.5,6.5,6.6,6.6,6.7,6.6,6.5,6.5,7.1,6.6,6.4,6.5,12501936,58000000,30234022,70307784,100541806,  Horror, Sci-Fi, Thriller  
Deadpool  ,2016,  R  ,919906,  /title/tt1431045/ ,8,65,8,8.1,7.9,7.8,8,8,8.1,7.9,7.8,8,7.9,8.1,7.9,7.9,132434639,58000000,363070709,419766082,782836791,  Action, Adventure, Comedy  
Criminal  ,2016,  R  ,60864,  /title/tt3014866/ ,6.3,36,6.2,6.4,6.2,6.4,6.3,5.8,6.4,6.2,6.4,6.4,6.5,6.4,6.3,6.6,5767278,  None  ,14708696,24095297,38803993,  Action, Sci-Fi, Thriller  
Huntwatch  ,2016,  Not Rated  ,41,  /title/tt3847948/ ,6.8,  None  ,  -  ,7,6.4,5.5,5.7,  -  ,7,6.6,4.8,7.7,  -  ,7,4.5,9, None  ,  None  ,  None  ,  None  ,  None,  Documentary, Adventure, Biography  
Self/less  ,2015,  PG-13  ,92118,  /title/tt2140379/ ,6.5,34,6.3,6.7,6.4,6.5,6.5,5.9,6.7,6.4,6.5,6.7,7,6.8,6.6,6.7,5403460,26000000,12279691,19527465,31807156,  Action, Mystery, Sci-Fi  
Woman in Gold  ,2015,  PG-13  ,54989,  /title/tt2404425/ ,7.3,51,7.3,7.4,7.2,7.4,7.2,6.9,7.2,7.1,7.3,7.6,7.5,7.7,7.5,7.7,2091551,11000000,33307793,28311980,61619773,  Biography, Drama, History  
Mississippi Grind  ,2015,  R  ,21419,  /title/tt2349144/ ,6.4,77,6.6,6.7,6.3,6.3,6.4,6.5,6.7,6.4,6.3,6,10,6.3,5.9,6.1,12434,  None  ,130541,292205,422746,  Comedy, Drama  ,
The Voices  ,2014,  R  ,54182,  /title/tt1567437/ ,6.4,58,6.2,6.6,6.3,6.1,6.4,6.1,6.6,6.3,6.1,6.4,7,6.6,6.3,6.2, None  ,  None  ,  None  ,2097718,2097718,  Comedy, Crime, Fantasy  
The Captive  ,  I 2014  ,  R  ,31472,  /title/tt2326612/ ,5.9,36,5.7,5.9,5.9,6,5.9,6,5.9,5.9,6,6,8,5.9,5.9,6.1,407804,  None  ,1075178,1021034,2096212,  Crime, Drama, Mystery  
The Croods  ,2013,  PG  ,196725,  /title/tt0481499/ ,7.2,55,6.9,7.3,7.2,7.1,7.1,6.8,7.2,7.1,7.1,7.4,7.5,7.4,7.4,7.4,43639736,135000000,187168425,400036894,587205319,  Animation, Adventure, Comedy  
Turbo  ,2013,  PG  ,86648,  /title/tt1860353/ ,6.4,58,6,6.5,6.4,6.3,6.4,6,6.5,6.4,6.3,6.6,5.7,6.6,6.6,6.7,21312625,135000000,83028128,199542554,282570682,  Animation, Adventure, Comedy  
R.I.P.D.  ,2013,  PG-13  ,119356,  /title/tt0790736/ ,5.6,25,5.4,5.7,5.5,5.7,5.5,5.4,5.6,5.5,5.7,5.9,5.4,6,5.8,5.9,12691415,130000000,33618855,44705365,78324220,  Action, Adventure, Comedy  
Safe House  ,2012,  R  ,208932,  /title/tt1599348/ ,6.7,52,6.6,6.8,6.7,6.8,6.7,6.5,6.8,6.7,6.8,6.7,5.8,6.7,6.7,6.9,40172720,85000000,126373434,81702771,208076205,  Action, Thriller  ,
Green Lantern  ,2011,  PG-13  ,269909,  /title/tt1133985/ ,5.5,39,4.4,5.4,5.5,5.8,5.5,4.3,5.4,5.5,5.8,5.6,4.9,5.6,5.5,5.9,53174303,200000000,116601172,103250000,219851172,  Action, Adventure, Sci-Fi  
The Change-Up  ,2011,  R  ,170056,  /title/tt1488555/ ,6.3,39,6.5,6.5,6.3,6.2,6.4,6.6,6.5,6.3,6.2,6.2,6.3,6.3,6.1,6.3,13531115,52000000,37081475,38368962,75450437,  Comedy, Fantasy  ,
Buried  ,2010,  R  ,151492,  /title/tt1462758/ ,7,65,6.9,7.1,7,6.7,7,6.9,7.2,7,6.7,6.9,6.3,7,6.8,6.8,100268,  None  ,1044143,18395621,19439764,  Drama, Mystery, Thriller  
The Proposal  ,  I 2009  ,  PG-13  ,300465,  /title/tt1041829/ ,6.7,48,6.9,6.8,6.6,6.7,6.5,6.3,6.6,6.5,6.5,7.1,7.2,7.2,7,7.1,33627598,40000000,163958031,153417000,317375031,  Comedy, Drama, Romance  
X-Men Origins: Wolverine  ,2009,  PG-13  ,473227,  /title/tt0458525/ ,6.6,40,6.1,6.6,6.6,6.7,6.6,6,6.5,6.5,6.7,7,6.5,7.1,7,7.2,85058003,150000000,179883157,193179707,373062864,  Action, Sci-Fi  ,
Adventureland  ,2009,  R  ,153539,  /title/tt1091722/ ,6.8,76,7.6,6.8,6.8,6.7,6.8,7.8,6.9,6.8,6.7,6.5,7.3,6.6,6.5,6.5,5722039,  None  ,16044025,1120795,17164820,  Comedy, Drama, Romance  
Paper Man  ,2009,  R  ,18473,  /title/tt0437405/ ,6.6,37,4.1,6.7,6.6,6.4,6.6,4.2,6.7,6.6,6.4,6.6,4,6.7,6.6,6.5,8613,  None  ,13514,  None  ,13514,  Comedy, Drama  ,
Chaos Theory  ,2008,  PG-13  ,31740,  /title/tt0460745/ ,6.6,44,6,6.7,6.7,6.4,6.7,6,6.7,6.8,6.4,6.5,  -  ,6.6,6.5,6.3, None  ,  None  ,240476,97964,338440,  Comedy, Drama, Romance  
Fireflies in the Garden  ,2008,  R  ,12518,  /title/tt0961108/ ,6.5,34,5,6.6,6.5,6.4,6.5,5,6.6,6.5,6.3,6.5,  -  ,6.7,6.5,6.5, None  ,8000000,70600,6621582,6692182,  Drama  ,,
The Nines  ,2007,  R  ,32969,  /title/tt0810988/ ,6.3,52,6.5,6.2,6.3,6.2,6.3,6,6.2,6.3,6.1,6.4,6.7,6.2,6.3,6.5,23617,  None  ,63165,67715,130880,  Drama, Fantasy, Mystery  
Smokin' Aces  ,2006,  R  ,139616,  /title/tt0475394/ ,6.7,45,6.5,6.8,6.7,6.5,6.7,5.8,6.8,6.7,6.5,6.7,9,6.8,6.6,6.6,14638755,17000000,35787686,21445193,57232879,  Action, Comedy, Crime  
Waiting...  ,  I 2005  ,  R  ,91498,  /title/tt0348333/ ,6.8,30,6.6,6.7,6.8,6.6,6.8,5.8,6.7,6.8,6.6,6.5,6.7,6.5,6.5,6.4,6021106,3000000,16124543,2513147,18637690,  Comedy  ,,
The Amityville Horror  ,2005,  R  ,106279,  /title/tt0384806/ ,6,33,6,6.1,6,5.7,5.9,6,6,5.9,5.7,6.2,6,6.2,6.2,6,23507007,19000000,65233369,42283000,107516369,  Horror  ,,
Just Friends  ,  I 2005  ,  PG-13  ,108175,  /title/tt0433400/ ,6.2,47,6.7,6.1,6.2,6.1,6.2,6.4,6.2,6.2,6.1,6.1,7,6.1,6.1,6.2,9275000,  None  ,32619671,18404572,51024243,  Comedy, Romance  ,
Blade: Trinity  ,2004,  R  ,167704,  /title/tt0359013/ ,5.9,38,4.5,6,5.8,6,5.8,4.4,5.9,5.8,5.9,6.2,4.6,6.4,6.2,6.5,16100000,65000000,52411906,79565998,131977904,  Action, Adventure, Fantasy  
The In-Laws  ,  I 2003  ,  PG-13  ,16375,  /title/tt0314786/ ,5.8,46,5.7,6,5.7,5.8,5.7,5.5,5.9,5.7,5.7,5.9,6,6.1,5.8,6.1,7319848,  None  ,20453431,6438418,26891849,  Action, Comedy, Thriller  
Foolproof  ,2003,  R  ,9897,  /title/tt0356614/ ,6.5,  None  ,  -  ,6.5,6.5,6.4,6.5,  -  ,6.5,6.5,6.4,6.6,  -  ,6.6,6.6,6.8,230312,  None  ,458990,320046,779036,  Action, Comedy, Crime  
National Lampoon's Van Wilder  ,2002,  R  ,104421,  /title/tt0283111/ ,6.4,26,6.8,6.4,6.5,6.3,6.5,7.5,6.5,6.5,6.3,6.2,7,6.1,6.2,6.2,7302913,5000000,21305259,16970224,38275483,  Comedy, Romance  ,
Bill & Ted Face the Music  ,2020,  PG-13  ,32613,  /title/tt1086064/ ,6,65,6.8,6.3,6,5.8,6,6.6,6.3,6,5.8,6.1,9.7,6.1,6.1,6,1125007,  None  ,3439660,2834367,6274027,  Adventure, Comedy, Music  
John Wick: Chapter 3 - Parabellum  ,2019,  R  ,287639,  /title/tt6146586/ ,7.4,73,7.9,7.6,7.3,7,7.4,7.9,7.6,7.3,7,7.4,7.5,7.5,7.3,7.4,56818067,75000000,171015687,156266092,327281779,  Action, Crime, Thriller  
Replicas  ,2018,  PG-13  ,33595,  /title/tt4154916/ ,5.5,19,5.2,5.5,5.4,5.6,5.5,5,5.4,5.4,5.5,5.5,6.1,5.5,5.3,5.8,2375325,  None  ,4046429,5283646,9330075,  Drama, Sci-Fi, Thriller  
Siberia  ,2018,  R  ,13397,  /title/tt6494418/ ,4.3,34,4.5,4.2,4.3,4.4,4.4,4,4.3,4.4,4.5,3.9,3.7,3.8,3.9,4.2, None  ,  None  ,  None  ,636366,636366,  Crime, Romance, Thriller  
Destination Wedding  ,2018,  R  ,25628,  /title/tt6987770/ ,6,46,5.7,6.1,6,6.1,6,6.4,6.2,5.9,6,6,5,5.9,6,6.3, None  ,  None  ,  None  ,2183025,2183025,  Comedy, Drama, Romance  
John Wick: Chapter 2  ,2017,  R  ,376989,  /title/tt4425200/ ,7.5,75,7.8,7.7,7.3,7.1,7.4,7.8,7.7,7.3,7.1,7.4,7.4,7.5,7.2,7.4,30436123,  None  ,92029184,79518618,171547802,  Action, Crime, Thriller  
A Happening of Monumental Proportions  ,2017,  R  ,761,  /title/tt5228262/ ,4.7,35,6,5,4.6,4.9,4.8,6,5.2,4.7,4.9,4.6,6,4.7,4.5,4.7, None  ,  None  ,  None  ,  None  ,  None,  Comedy, Drama  ,
The Whole Truth  ,2016,  R  ,24920,  /title/tt3503406/ ,6.2,46,5.9,6.3,6.2,6.2,6.2,5.8,6.3,6.2,6.1,6.3,8,6.4,6.3,6.3, None  ,  None  ,  None  ,1667849,1667849,  Crime, Drama, Mystery  
The Neon Demon  ,2016,  R  ,86229,  /title/tt1974419/ ,6.2,51,6.8,6.6,6.1,5.6,6.2,7,6.7,6.1,5.6,5.8,6.3,6.1,5.7,5.3,589014,  None  ,1333124,2044306,3377430,  Horror, Thriller  ,
The Bad Batch  ,2016,  R  ,27484,  /title/tt4334266/ ,5.3,62,5.4,5.5,5.3,5,5.2,5.7,5.5,5.3,5,5.4,5.3,5.6,5.3,5.1,89111,  None  ,180851,21039,201890,  Action, Horror, Mystery  
Exposed  ,  III 2016  ,  R  ,14134,  /title/tt4019560/ ,4.3,23,4,4.3,4.3,4.4,4.3,3,4.3,4.3,4.4,4.5,6,4.5,4.4,4.7, None  ,  None  ,  None  ,269915,269915,  Crime, Drama, Mystery  
Knock Knock  ,  I 2015  ,  R  ,86031,  /title/tt3605418/ ,4.9,53,4.3,4.8,4.9,4.9,4.9,3.9,4.9,5,5,4.4,5.9,4.5,4.4,4.5,18623,  None  ,36336,5530767,5567103,  Drama, Thriller  ,
John Wick  ,2014,  R  ,553098,  /title/tt2911666/ ,7.4,68,7.8,7.6,7.3,7.2,7.3,7.8,7.6,7.3,7.1,7.3,7.3,7.4,7.2,7.4,14415922,20000000,43037835,43043876,86081711,  Action, Crime, Thriller  
47 Ronin  ,2013,  PG-13  ,150141,  /title/tt1335975/ ,6.3,28,5.8,6.3,6.2,6.4,6.2,5.3,6.3,6.2,6.3,6.5,7.2,6.4,6.4,6.7,9910310,175000000,38362475,113421364,151783839,  Action, Drama, Fantasy  
Man of Tai Chi  ,2013,  R  ,36144,  /title/tt2016940/ ,6.1,52,6.5,6.3,6,5.9,6.1,5.9,6.3,6,5.9,6.1,7.3,6.1,6.1,6.1,61054,  None  ,100144,5364741,5464885,  Action, Drama  ,
Generation Um...  ,2012,  R  ,3891,  /title/tt1718158/ ,4,25,  -  ,4.5,4,3.6,3.9,  -  ,4.5,4,3.6,4.1,  -  ,4.5,4,3.8, None  ,  None  ,  None  ,  None  ,  None,  Drama  ,,
Henry's Crime  ,2010,  R  ,19151,  /title/tt1220888/ ,6,49,5.8,6.2,6,5.9,6,6,6.2,6,5.9,5.9,5,6.1,5.8,5.9,8726,  None  ,102541,2067258,2169799,  Comedy, Crime, Drama  
The Day the Earth Stood Still  ,2008,  PG-13  ,164798,  /title/tt0970416/ ,5.5,40,5,5.5,5.5,5.5,5.5,5.2,5.5,5.5,5.5,5.6,7,5.6,5.5,5.8,30480153,80000000,79366978,153726881,233093859,  Drama, Sci-Fi, Thriller  
Street Kings  ,2008,  R  ,108156,  /title/tt0421073/ ,6.8,55,6,6.8,6.8,6.7,6.8,5.5,6.8,6.8,6.7,6.6,7.2,6.6,6.6,6.8,12469631,20000000,26418667,40057696,66476363,  Action, Crime, Drama  
A Scanner Darkly  ,2006,  R  ,107413,  /title/tt0405296/ ,7.1,73,7.3,7.3,7.1,6.7,7.1,7.7,7.3,7.1,6.7,7.1,6.7,7.3,7.1,6.9,391672,  None  ,5501616,2158302,7659918,  Animation, Crime, Drama  
The Lake House  ,2006,  PG  ,142204,  /title/tt0410297/ ,6.8,52,6.8,6.9,6.7,6.7,6.7,6.2,6.8,6.7,6.6,7,7.7,7.1,6.9,7.2,13616196,40000000,52330111,62500000,114830111,  Drama, Fantasy, Romance  
Constantine  ,2005,  R  ,313130,  /title/tt0360486/ ,7,50,7,7.1,7,6.8,6.9,6.8,7.1,6.9,6.8,7.2,7,7.3,7.1,7.2,29769098,100000000,75976178,154908550,230884728,  Action, Fantasy, Horror  
Thumbsucker  ,2005,  R  ,20674,  /title/tt0318761/ ,6.6,69,  -  ,6.6,6.6,6.5,6.5,  -  ,6.6,6.6,6.4,6.6,  -  ,6.7,6.6,6.7,85327,  None  ,1328679,810063,2138742,  Comedy, Drama  ,
The Matrix Reloaded  ,2003,  R  ,523452,  /title/tt0234215/ ,7.2,62,7.1,7.3,7.2,7,7.2,7.1,7.3,7.2,7,7.1,6.5,7.2,7,7.1,91774413,150000000,281576461,460271476,741847937,  Action, Sci-Fi  ,
The Matrix Revolutions  ,2003,  R  ,454426,  /title/tt0242653/ ,6.8,47,6.5,6.9,6.7,6.6,6.8,6.5,6.9,6.8,6.6,6.8,5.8,7,6.7,6.8,48475154,150000000,139313948,288030377,427344325,  Action, Sci-Fi  ,
Something's Gotta Give  ,2003,  PG-13  ,113693,  /title/tt0337741/ ,6.7,66,7,6.7,6.7,6.9,6.7,7,6.6,6.6,6.8,6.9,6.7,6.7,6.8,7.3,16064723,80000000,124728738,140600000,265328738,  Comedy, Drama, Romance  
Hardball  ,2001,  PG-13  ,28753,  /title/tt0180734/ ,6.4,48,5.1,6.9,6.4,6.1,6.4,5.2,6.8,6.3,6.1,6.7,1,7.1,6.7,6.5,9386342,32000000,40222729,3879660,44102389,  Drama, Sport  ,
Sweet November  ,2001,  PG-13  ,86689,  /title/tt0230838/ ,6.7,27,6,7,6.8,6.3,6.7,6.1,6.9,6.7,6.2,6.8,5.6,7,6.8,6.4,9733954,  None  ,25288103,40466125,65754228,  Drama, Romance  ,
The Replacements  ,2000,  PG-13  ,59164,  /title/tt0191397/ ,6.6,30,5,6.8,6.5,6.6,6.6,5,6.8,6.5,6.5,6.8,  -  ,6.9,6.6,7.1,11039214,50000000,44737059,5317452,50054511,  Comedy, Sport  ,
The Gift  ,2000,  R  ,64561,  /title/tt0219699/ ,6.6,62,5.2,6.6,6.6,6.8,6.6,7,6.5,6.5,6.8,6.8,5,6.7,6.7,7.1,11827,  None  ,12008642,32558964,44567606,  Drama, Fantasy, Horror  
