titles  ,  years  ,  certifcation  ,  votes  ,  dataValues ,  IMDBRatings  ,  metaScores  ,  All0to17  ,  All18to29  ,  All30to44  ,  All45to  ,  MaleAll  ,  Male0to17  ,  Male18to29  ,  Male30to44  ,  Male45to  ,  FemaleAll  ,  Female0to17  ,  Female18to29  ,  Female30to44  ,  Female45to , DomesticOpening  ,  Budget  ,  Domestic  ,  International  ,  Worldwide, genre1, genre2, genre3
Fast & Furious Presents: Hobbs & Shaw  ,  2019  ,  PG-13  ,  175909  ,  /title/tt6806448/ ,  6.4  ,  60  ,  6.6  ,  6.4  ,  6.3  ,  6.5  ,  6.4  ,  6.6  ,  6.4  ,  6.3  ,  6.5  ,  6.8  ,  5.7  ,  6.7  ,  6.7  ,  7.1  , 60038950  ,  200000000  ,  173956935  ,  585100000  ,  759056935,  Action, Adventure, Thriller 
Jumanji: The Next Level  ,  2019  ,  PG-13  ,  198550  ,  /title/tt7975244/ ,  6.6  ,  58  ,  7.1  ,  6.7  ,  6.5  ,  6.7  ,  6.6  ,  6.9  ,  6.6  ,  6.5  ,  6.6  ,  7.0  ,  7.5  ,  7.0  ,  6.9  ,  7.1  , 59251543  ,  125000000  ,  320314960  ,  479744747  ,  800059707,  Action, Adventure, Comedy 
Fighting with My Family  ,  2019  ,  PG-13  ,  69136  ,  /title/tt6513120/ ,  7.1  ,  68  ,  6.8  ,  7.1  ,  7.0  ,  7.1  ,  7.0  ,  6.8  ,  7.1  ,  7.0  ,  7.0  ,  7.1  ,  6.7  ,  7.1  ,  7.1  ,  7.2  , 138780  ,  11000000  ,  22958886  ,  17853033  ,  40811919,  Biography, Comedy, Drama 
Rampage  ,  2018  ,  PG-13  ,  148506  ,  /title/tt2231461/ ,  6.1  ,  45  ,  6.1  ,  6.1  ,  6.0  ,  6.2  ,  6.0  ,  6.0  ,  6.0  ,  6.0  ,  6.1  ,  6.4  ,  5.4  ,  6.4  ,  6.3  ,  6.7  , 35753093  ,  120000000  ,  101028233  ,  327000000  ,  428028233,  Action, Adventure, Sci-Fi 
Skyscraper  ,  2018  ,  PG-13  ,  109936  ,  /title/tt5758778/ ,  5.8  ,  51  ,  5.6  ,  5.8  ,  5.7  ,  5.9  ,  5.8  ,  5.7  ,  5.8  ,  5.7  ,  5.8  ,  6.1  ,  4.3  ,  6.1  ,  6.0  ,  6.3  , 24905015  ,  125000000  ,  68420120  ,  236448841  ,  304868961,  Action, Adventure, Thriller 
Jumanji: Welcome to the Jungle  ,  2017  ,  PG-13  ,  329622  ,  /title/tt2283362/ ,  6.9  ,  58  ,  7.2  ,  7.0  ,  6.8  ,  7.0  ,  6.8  ,  7.0  ,  6.9  ,  6.8  ,  6.9  ,  7.3  ,  7.6  ,  7.3  ,  7.2  ,  7.5  , 36169328  ,  90000000  ,  404540171  ,  558002774  ,  962542945,  Action, Adventure, Comedy 
Baywatch  ,  2017  ,  R  ,  166197  ,  /title/tt1469304/ ,  5.5  ,  37  ,  5.6  ,  5.7  ,  5.4  ,  5.4  ,  5.5  ,  5.6  ,  5.6  ,  5.4  ,  5.4  ,  5.7  ,  5.4  ,  5.9  ,  5.6  ,  5.7  , 18503871  ,  69000000  ,  58060186  ,  119796565  ,  177856751,  Action, Comedy, Crime 
The Fate of the Furious  ,  2017  ,  PG-13  ,  209658  ,  /title/tt4630562/ ,  6.6  ,  56  ,  6.7  ,  6.7  ,  6.5  ,  6.5  ,  6.6  ,  6.7  ,  6.7  ,  6.5  ,  6.5  ,  7.1  ,  7.1  ,  7.3  ,  7.0  ,  7.1  , 98786705  ,  250000000  ,  226008385  ,  1009996733  ,  1236005118,  Action, Adventure, Crime 
Moana  ,  2016  ,  PG  ,  282239  ,  /title/tt3521164/ ,  7.6  ,  81  ,  7.5  ,  7.6  ,  7.5  ,  7.5  ,  7.5  ,  7.3  ,  7.5  ,  7.5  ,  7.4  ,  7.9  ,  7.8  ,  7.9  ,  7.9  ,  7.9  , 56631401  ,  None  ,  248757044  ,  396205495  ,  644962539,  Animation, Adventure, Comedy 
Central Intelligence  ,  2016  ,  PG-13  ,  163364  ,  /title/tt1489889/ ,  6.3  ,  52  ,  6.5  ,  6.4  ,  6.2  ,  6.3  ,  6.2  ,  6.4  ,  6.4  ,  6.2  ,  6.2  ,  6.5  ,  6.4  ,  6.5  ,  6.4  ,  6.7  , 35535250  ,  50000000  ,  127440871  ,  89531672  ,  216972543,  Action, Comedy, Crime 
Furious 7  ,  2015  ,  PG-13  ,  364683  ,  /title/tt2820852/ ,  7.1  ,  67  ,  7.5  ,  7.4  ,  7.0  ,  6.8  ,  7.0  ,  7.5  ,  7.3  ,  6.9  ,  6.8  ,  7.6  ,  7.8  ,  7.8  ,  7.4  ,  7.5  , 147187040  ,  190000000  ,  353007020  ,  1162248602  ,  1515255622,  Action, Adventure, Thriller 
San Andreas  ,  2015  ,  PG-13  ,  216862  ,  /title/tt2126355/ ,  6.1  ,  43  ,  6.1  ,  6.2  ,  6.0  ,  6.1  ,  6.0  ,  6.0  ,  6.1  ,  5.9  ,  6.0  ,  6.5  ,  6.3  ,  6.6  ,  6.3  ,  6.6  , 54588173  ,  110000000  ,  155190832  ,  318800000  ,  473990832,  Action, Adventure, Thriller 
Hercules  ,  2014  ,  PG-13  ,  147859  ,  /title/tt1267297/ ,  6.0  ,  47  ,  6.2  ,  6.1  ,  5.9  ,  6.1  ,  6.0  ,  6.2  ,  6.1  ,  5.9  ,  6.1  ,  6.1  ,  6.2  ,  6.2  ,  6.0  ,  6.5  , 29800263  ,  100000000  ,  72688614  ,  172131248  ,  244819862,  Action, Adventure, Fantasy 
Furious 6  ,  2013  ,  PG-13  ,  373142  ,  /title/tt1905041/ ,  7.0  ,  61  ,  7.1  ,  7.3  ,  6.9  ,  6.7  ,  7.0  ,  7.0  ,  7.2  ,  6.9  ,  6.7  ,  7.5  ,  7.1  ,  7.7  ,  7.3  ,  7.4  , 97375245  ,  160000000  ,  238679850  ,  550001118  ,  788680968,  Action, Adventure, Thriller 
G.I. Joe: Retaliation  ,  2013  ,  PG-13  ,  174637  ,  /title/tt1583421/ ,  5.8  ,  41  ,  5.9  ,  6.0  ,  5.7  ,  5.7  ,  5.7  ,  5.9  ,  6.0  ,  5.7  ,  5.6  ,  6.0  ,  6.2  ,  6.3  ,  5.8  ,  6.1  , 40501814  ,  130000000  ,  122523060  ,  253217645  ,  375740705,  Action, Adventure, Sci-Fi 
Pain & Gain  ,  2013  ,  R  ,  203490  ,  /title/tt1980209/ ,  6.4  ,  45  ,  6.5  ,  6.5  ,  6.4  ,  6.2  ,  6.4  ,  6.4  ,  6.6  ,  6.4  ,  6.2  ,  6.0  ,  6.6  ,  6.1  ,  6.0  ,  6.0  , 20244505  ,  26000000  ,  49875291  ,  37430258  ,  87305549,  Action, Comedy, Crime 
Snitch  ,  2013  ,  PG-13  ,  84082  ,  /title/tt0882977/ ,  6.4  ,  51  ,  6.1  ,  6.6  ,  6.4  ,  6.4  ,  6.4  ,  6.0  ,  6.6  ,  6.4  ,  6.4  ,  6.5  ,  8.0  ,  6.6  ,  6.4  ,  6.7  , 13167607  ,  None  ,  42930462  ,  14894212  ,  57824674,  Action, Drama, Thriller 
Empire State  ,  2013  ,  R  ,  20108  ,  /title/tt2171867/ ,  5.2  ,  None  ,  6.8  ,  5.3  ,  5.1  ,  5.3  ,  5.2  ,  6.5  ,  5.4  ,  5.1  ,  5.3  ,  5.1  ,  7.0  ,  5.1  ,  5.0  ,  5.2  , None  ,  None  ,  None  ,  1212500  ,  1212500,  Action, Crime, Thriller 
Journey 2: The Mysterious Island  ,  2012  ,  PG  ,  95341  ,  /title/tt1397514/ ,  5.8  ,  41  ,  5.9  ,  5.9  ,  5.7  ,  5.7  ,  5.7  ,  6.1  ,  5.8  ,  5.6  ,  5.6  ,  6.1  ,  4.8  ,  6.2  ,  6.0  ,  6.3  , 27335363  ,  79000000  ,  103860290  ,  231400000  ,  335260290,  Action, Adventure, Family 
Fast Five  ,  2011  ,  PG-13  ,  357490  ,  /title/tt1596343/ ,  7.3  ,  66  ,  7.6  ,  7.5  ,  7.2  ,  6.9  ,  7.2  ,  7.6  ,  7.5  ,  7.2  ,  6.9  ,  7.6  ,  7.5  ,  7.8  ,  7.4  ,  7.4  , 86198765  ,  125000000  ,  209837675  ,  416300000  ,  626137675,  Action, Adventure, Crime 
WWE The Rock: The Most Electrifying Man In Sports Entertainment Vol 1  ,  2011  ,  Not Rated  ,  17  ,  /title/tt2234522/ ,  6.5  ,  None  ,  -  ,  8.0  ,  6.2  ,  -  ,  6.6  ,  -  ,  8.0  ,  6.2  ,  -  ,  6.0  ,  -  ,  -  ,  6.0  ,  -  , None  ,  None  ,  None  ,  None  ,  None,  None 
WWE The Rock: The Most Electrifying Man In Sports Entertainment Vol 2  ,  2011  ,  Not Rated  ,  12  ,  /title/tt2234508/ ,  5.7  ,  None  ,  -  ,  5.5  ,  6.3  ,  -  ,  6.3  ,  -  ,  5.5  ,  6.4  ,  -  ,  6.0  ,  -  ,  -  ,  6.0  ,  -  , None  ,  None  ,  None  ,  None  ,  None,  None 
Faster  ,  2010  ,  R  ,  102007  ,  /title/tt1433108/ ,  6.4  ,  44  ,  5.8  ,  6.5  ,  6.4  ,  6.4  ,  6.4  ,  5.8  ,  6.5  ,  6.4  ,  6.4  ,  6.5  ,  10.0  ,  6.6  ,  6.4  ,  6.7  , 8523153  ,  24000000  ,  23240020  ,  12386938  ,  35626958,  Action, Crime, Drama 
Tooth Fairy  ,  2010  ,  PG  ,  43086  ,  /title/tt0808510/ ,  5.0  ,  36  ,  4.4  ,  5.0  ,  5.0  ,  5.3  ,  4.9  ,  4.3  ,  4.8  ,  4.9  ,  5.1  ,  5.5  ,  4.8  ,  5.5  ,  5.4  ,  5.8  , 14010409  ,  48000000  ,  60022256  ,  52440252  ,  112462508,  Comedy, Family, Fantasy 
Race to Witch Mountain  ,  2009  ,  PG  ,  56605  ,  /title/tt1075417/ ,  5.7  ,  52  ,  5.5  ,  5.6  ,  5.6  ,  5.9  ,  5.7  ,  5.2  ,  5.6  ,  5.6  ,  5.9  ,  5.9  ,  6.0  ,  5.9  ,  5.8  ,  6.2  , 24402214  ,  None  ,  67172594  ,  39214547  ,  106387141,  Action, Adventure, Family 
Planet 51  ,  2009  ,  PG  ,  51662  ,  /title/tt0762125/ ,  6.0  ,  39  ,  5.4  ,  5.8  ,  6.1  ,  6.2  ,  6.0  ,  5.3  ,  5.8  ,  6.1  ,  6.2  ,  6.2  ,  5.5  ,  6.1  ,  6.3  ,  6.3  , 12286129  ,  70000000  ,  42194060  ,  63453042  ,  105647102,  Animation, Adventure, Comedy 
Get Smart  ,  2008  ,  PG-13  ,  206231  ,  /title/tt0425061/ ,  6.5  ,  54  ,  6.3  ,  6.6  ,  6.4  ,  6.3  ,  6.5  ,  6.3  ,  6.6  ,  6.4  ,  6.3  ,  6.4  ,  6.0  ,  6.5  ,  6.3  ,  6.4  , 38683480  ,  80000000  ,  130319208  ,  100366245  ,  230685453,  Action, Adventure, Comedy 
The Game Plan  ,  2007  ,  PG  ,  60028  ,  /title/tt0492956/ ,  6.1  ,  44  ,  5.7  ,  6.1  ,  6.1  ,  6.2  ,  6.0  ,  5.6  ,  5.9  ,  6.1  ,  6.1  ,  6.5  ,  6.1  ,  6.5  ,  6.5  ,  6.8  , 22950971  ,  None  ,  90648202  ,  57232341  ,  147880543,  Comedy, Family, Sport 
Southland Tales  ,  2006  ,  R  ,  37491  ,  /title/tt0405336/ ,  5.4  ,  44  ,  5.2  ,  5.3  ,  5.5  ,  5.1  ,  5.4  ,  4.9  ,  5.3  ,  5.5  ,  5.0  ,  5.3  ,  7.0  ,  5.6  ,  5.2  ,  5.3  , 117000  ,  None  ,  275380  ,  99363  ,  374743,  Comedy, Drama, Mystery 
Gridiron Gang  ,  2006  ,  PG-13  ,  57636  ,  /title/tt0421206/ ,  6.9  ,  52  ,  6.9  ,  7.1  ,  6.9  ,  6.7  ,  6.9  ,  6.9  ,  7.1  ,  6.8  ,  6.6  ,  7.3  ,  7.0  ,  7.4  ,  7.2  ,  7.5  , 14414630  ,  30000000  ,  38432823  ,  3048028  ,  41480851,  Biography, Crime, Drama 
Doom  ,  2005  ,  R  ,  109025  ,  /title/tt0419706/ ,  5.2  ,  34  ,  4.7  ,  5.3  ,  5.2  ,  5.2  ,  5.2  ,  4.1  ,  5.3  ,  5.1  ,  5.2  ,  5.6  ,  5.7  ,  5.7  ,  5.5  ,  5.7  , 15488870  ,  60000000  ,  28212337  ,  29859782  ,  58072119,  Action, Horror, Sci-Fi 
Be Cool  ,  2005  ,  PG-13  ,  67619  ,  /title/tt0377471/ ,  5.6  ,  37  ,  5.6  ,  5.7  ,  5.6  ,  5.6  ,  5.7  ,  5.8  ,  5.7  ,  5.7  ,  5.6  ,  5.4  ,  7.0  ,  5.3  ,  5.4  ,  5.6  , 23450212  ,  53000000  ,  56046979  ,  39716737  ,  95763716,  Comedy, Crime, Music 
Walking Tall  ,  2004  ,  PG-13  ,  71617  ,  /title/tt0351977/ ,  6.3  ,  44  ,  6.4  ,  6.4  ,  6.2  ,  6.0  ,  6.2  ,  6.4  ,  6.4  ,  6.2  ,  6.0  ,  6.5  ,  6.0  ,  6.7  ,  6.3  ,  6.6  , 15501114  ,  46000000  ,  46437717  ,  10786173  ,  57223890,  Action, Crime 
The Rundown  ,  2003  ,  PG-13  ,  102129  ,  /title/tt0327850/ ,  6.7  ,  59  ,  6.7  ,  6.8  ,  6.6  ,  6.6  ,  6.7  ,  7.1  ,  6.7  ,  6.6  ,  6.5  ,  6.7  ,  5.9  ,  6.8  ,  6.6  ,  6.9  , 18553765  ,  85000000  ,  47726342  ,  33255572  ,  80981914,  Action, Adventure, Comedy 
The Scorpion King  ,  2002  ,  PG-13  ,  131909  ,  /title/tt0277296/ ,  5.5  ,  45  ,  5.6  ,  5.6  ,  5.4  ,  5.6  ,  5.5  ,  5.4  ,  5.6  ,  5.4  ,  5.6  ,  5.7  ,  6.9  ,  5.8  ,  5.5  ,  6.0  , 36075875  ,  60000000  ,  91047077  ,  89583830  ,  180630907,  Action, Adventure, Fantasy 
